Image #, x, y 
0,7769.245000000002,4128.390000000001 
1,7702.905000000002,1667.5300000000004 
2,7701.035000000002,2083.2300000000005 
3,7626.455000000002,2567.0650000000005 
4,5801.6950000000015,-96.60500000000003 
5,5789.330000000002,490.3050000000002 
6,7638.480000000001,1692.1550000000004 
7,7564.9000000000015,1799.4450000000004 
8,8825.320000000002,-714.3700000000001 
9,7580.280000000002,2217.9900000000007 
10,6913.130000000002,-3691.690000000001 
11,7868.815000000002,1835.7050000000004 
12,8891.045000000002,-447.08500000000015 
13,7933.590000000002,2217.5950000000007 
14,7766.440000000001,2217.8950000000004 
15,6037.5700000000015,-2922.6700000000005 
16,5633.590000000001,-2743.5000000000005 
17,5742.760000000001,-2843.120000000001 
18,14070.320000000003,91.80200000000002 
19,6938.6500000000015,-3727.810000000001 
20,11626.518000000004,-4112.344500000001 
21,10540.126000000002,-4114.201500000001 
22,5919.880000000001,-2990.140000000001 
23,14174.510000000004,4383.7350000000015 
24,14168.210000000003,4383.7350000000015 
25,9053.390000000003,-419.9600000000001 
26,9046.850000000002,-419.9600000000001 
27,8917.220000000003,-281.5300000000001 
28,8890.645000000002,-558.2200000000001 
29,8888.645000000002,-568.4900000000001 
30,8852.700000000003,-300.1500000000001 
31,8845.890000000001,-303.30000000000007 
32,8838.860000000002,-945.4100000000002 
33,6195.7350000000015,-1431.3400000000004 
34,6135.255000000001,-1201.9500000000003 
35,5854.510000000001,4383.7350000000015 
36,5854.510000000001,-4116.265000000001 
37,5848.210000000001,4383.7350000000015 
38,5848.210000000001,-4116.265000000001 
39,5725.410000000002,-231.73500000000004 
40,12056.348000000004,-4356.049000000001 
41,13837.528000000004,-4105.235000000001 
